label,drug,n,active
55,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,-85.35,1
201,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,-69.25,1
41,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],-63.65,1
112,CC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCCC(C4=C3C=CC(=C4)Cl)O)C,-62.16117800973135,1
69,CC12CCC(=O)C=C1C3CC3C4C2CCC5(C4C6CC6C57CCC(=O)O7)C,-56.24515685700375,1
287,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2.Cl,-30.55522486896665,0
149,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C,-27.99179043405715,0
215,C1CC(CCC1CN)C(=O)O,-26.4010709835676,0
224,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O.Cl,-25.8819776991631,0
57,CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-],-25.51236305610415,0
195,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,-25.17073581805505,0
66,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,-23.4891059397879,0
299,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,-23.2318914344591,0
81,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,-23.21424541346235,0
43,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O.CS(=O)(=O)O,-23.1185722759697,0
211,CC(C)(C1=CC=CC=C1CCC(C2=CC=CC(=C2)C=CC3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)[O-])O.[Na+],-21.80345886848395,0
131,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N.OS(=O)(=O)O,-21.786387214626153,0
274,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC(=C(C=C3CC2C(=O)O)OC)OC.Cl,-20.9483791122855,0
163,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O.Cl,-20.475881908801902,0
127,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3.C1=CC=C(C=C1)C(=O)O,-19.8134447599566,0
54,CCOC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)C(=O)OCCl,-18.9319648185698,0
279,CCC1=NC=CC(=C1)C(=S)N,-17.2093992643816,0
197,CC(C)CC(CC(=O)O)CN,-16.89539039713445,0
263,C1=CC(=C(C=C1CCN)O)O.Cl,-16.8194918072919,0
226,CC(C)OC(=O)CCCC=CCC1C(CC(C1C=CC(COC2=CC=CC(=C2)C(F)(F)F)O)O)O,-16.63714265110695,0
409,CCCC(=O)OC1(CCC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C(=O)COC(=O)C,-16.40757866571918,0
196,CCC1(CC(=O)NC1=O)C,-16.320497519278447,0
417,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)OC(=O)CC,-16.3022904839702,0
331,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,-16.229066038904648,0
152,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl,-15.948402207847451,0
51,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)[O-].[Na+],-15.914848313152799,0
190,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl.Cl,-15.7691970750404,0
183,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34,-15.61693999219465,0
142,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-15.52870881404525,0
49,CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C.CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C.[Ca+2],-15.2781394354858,0
147,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,-15.27197302512905,0
157,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO.OS(=O)(=O)O,-15.2233766505128,0
89,CC1(CC1C(=O)NC(=CCCCCSCC(C(=O)O)N)C(=O)[O-])C.[Na+],-15.20978928555755,0
36,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,-14.9071314664427,0
40,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,-14.73978261320495,0
39,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,-14.5826618638536,0
60,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32.Cl,-14.53819784805135,0
30,C1=CC2=C(C=C1Cl)NC(=O)O2,-14.3930469750347,0
141,CN(C(=O)NC1C(C(C(OC1O)CO)O)O)N=O,-14.373170314577301,0
2,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C.[K+],-14.298455879231401,0
231,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,-14.28604105850295,0
410,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O.Cl,-14.1804200477433,0
38,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,-14.11829313026155,0
174,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,-13.98272845055935,0
65,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)COP(=O)(O)O)O)O)F)N,-13.92863655484765,0
420,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,-13.87479008870115,0
233,CC1(C(=O)N(C(=O)O1)C)C,-13.8692551326378,0
67,CC1(OC2CC3C4CCC5=CC(=O)CCC5(C4(C(CC3(C2(O1)C(=O)CCl)C)O)F)C)C,-13.7994334083764,0
240,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2.Cl,-13.751366383642651,0
171,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,-13.648788558554099,0
312,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,-13.5455379740619,0
22,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O.Cl,-13.473902664882399,0
